date,dap,stage,thermal_time,biomass,leaf_area_index,root_depth,fruit_number,fruit_biomass,leaf_biomass,stem_biomass,root_biomass,crown_number,runner_number,water_stress,daylength,photosynthesis,transpiration
2023-05-01,1,GERMINATION,16.0,0.5176485903622335,0.004141188722897869,5.2,0,0.0,0.20705943614489342,0.10352971807244671,0.20705943614489342,1.0,0.0,0.0,13.758355635206359,2.588242951811168,1.909786562294214
2023-05-02,2,GERMINATION,32.0,0.5298721906023418,0.004238977524818734,5.4,0,0.0,0.21194887624093672,0.10597443812046836,0.21194887624093672,1.0,0.0,0.0,13.79606711857334,0.11029461728495368,1.6607119608844503
2023-05-03,3,GERMINATION,48.0,0.5423837731834091,0.004339070185467273,5.6000000000000005,0,0.0,0.21695350927336365,0.10847675463668183,0.21695350927336365,1.0,0.0,0.0,13.833363004376599,0.11289577101255924,1.6609746614610161
2023-05-04,4,EMERGENCE,64.0,0.5551900912256964,0.004441520729805571,5.800000000000001,0,0.0,0.22207603649027854,0.11103801824513927,0.22207603649027854,1.0,0.0,0.0,13.870229080632765,0.11555804866386014,1.6612435325188295
2023-05-05,5,EMERGENCE,80.0,0.5682980547003446,0.004546384437602757,6.000000000000001,0,0.0,0.2273192218801378,0.1136596109400689,0.2273192218801378,1.0,0.0,0.0,13.906650939380842,0.11828287603968195,1.661518717865911
2023-05-06,6,EMERGENCE,96.0,0.5817147340004692,0.004653717872003755,6.200000000000001,0,0.0,0.2326858936001877,0.11634294680009385,0.2326858936001877,1.0,0.0,0.0,13.94261398578652,0.12107171169715651,1.6618003646080413
2023-05-07,7,JUVENILE,112.0,0.5954473635901104,0.004763578908720883,6.400000000000001,0,0.0,0.23817894543604418,0.11908947271802209,0.23817894543604418,1.0,0.0,0.0,13.978103448272218,0.12392604767825036,1.6620886232218088
2023-05-08,8,JUVENILE,128.0,0.6095033457325708,0.004876026765860567,6.600000000000001,0,0.0,0.24380133829302833,0.12190066914651417,0.24380133829302833,1.0,0.0,0.0,14.013104389688856,0.12684741025336244,1.6623836476291618
2023-05-09,9,JUVENILE,144.0,0.6238902542996957,0.004991122034397565,6.800000000000002,0,0.0,0.24955610171987827,0.12477805085993914,0.24955610171987827,1.0,0.0,0.0,14.047601719542172,0.12983736068021834,1.6626855952734712
2023-05-10,10,JUVENILE,160.0,0.6386158386636659,0.005108926709309327,7.000000000000002,0,0.0,0.25544633546546636,0.12772316773273318,0.25544633546546636,1.0,0.0,0.0,14.081580207283046,0.13289749597832232,1.6629946271971427
